order_id,shipping_limit_date,seller_id,freight_value
order_0001,2018-01-05 10:30:00,seller_001,12.00
order_0002,2018-01-06 15:30:00,seller_002,15.25
order_0003,2018-01-07 20:30:00,seller_003,18.50
order_0004,2018-01-09 01:30:00,seller_004,21.75
order_0005,2018-01-10 06:30:00,seller_005,25.00
order_0006,2018-01-06 11:30:00,seller_006,28.25
order_0007,2018-01-07 16:30:00,seller_007,31.50
order_0008,2018-01-08 21:30:00,seller_008,34.75
order_0009,2018-01-10 02:30:00,seller_009,38.00
order_0010,2018-01-11 07:30:00,seller_010,12.00
order_0011,2018-01-07 12:30:00,seller_011,15.25
order_0012,2018-01-08 17:30:00,seller_012,18.50
order_0013,2018-01-09 22:30:00,seller_013,21.75
order_0014,2018-01-11 03:30:00,seller_014,25.00
order_0015,2018-01-12 08:30:00,seller_015,28.25
order_0016,2018-01-08 13:30:00,seller_016,31.50
order_0017,2018-01-09 18:30:00,seller_017,34.75
order_0018,2018-01-10 23:30:00,seller_018,38.00
order_0019,2018-01-12 04:30:00,seller_019,12.00
order_0020,2018-01-13 09:30:00,seller_020,15.25
order_0021,2018-01-09 14:30:00,seller_021,18.50
order_0022,2018-01-10 19:30:00,seller_022,21.75
order_0023,2018-01-12 00:30:00,seller_023,25.00
order_0024,2018-01-13 05:30:00,seller_024,28.25
order_0025,2018-01-14 10:30:00,seller_025,31.50
order_0026,2018-01-10 15:30:00,seller_026,34.75
order_0027,2018-01-11 20:30:00,seller_027,38.00
order_0028,2018-01-13 01:30:00,seller_028,12.00
order_0029,2018-01-14 06:30:00,seller_029,15.25
order_0030,2018-01-15 11:30:00,seller_030,18.50
order_0031,2018-01-11 16:30:00,seller_031,21.75
order_0032,2018-01-12 21:30:00,seller_032,25.00
order_0033,2018-01-14 02:30:00,seller_033,28.25
order_0034,2018-01-15 07:30:00,seller_034,31.50
order_0035,2018-01-16 12:30:00,seller_035,34.75
order_0036,2018-01-12 17:30:00,seller_001,38.00
order_0037,2018-01-13 22:30:00,seller_002,12.00
order_0038,2018-01-15 03:30:00,seller_003,15.25
order_0039,2018-01-16 08:30:00,seller_004,18.50
order_0040,2018-01-17 13:30:00,seller_005,21.75
order_0041,2018-01-13 18:30:00,seller_006,25.00
order_0042,2018-01-14 23:30:00,seller_007,28.25
order_0043,2018-01-16 04:30:00,seller_008,31.50
order_0044,2018-01-17 09:30:00,seller_009,34.75
order_0045,2018-01-18 14:30:00,seller_010,38.00
order_0046,2018-01-14 19:30:00,seller_011,12.00
order_0047,2018-01-16 00:30:00,seller_012,15.25
order_0048,2018-01-17 05:30:00,seller_013,18.50
order_0049,2018-01-18 10:30:00,seller_014,21.75
order_0050,2018-01-19 15:30:00,seller_015,25.00
order_0051,2018-01-15 20:30:00,seller_016,28.25
order_0052,2018-01-17 01:30:00,seller_017,31.50
order_0053,2018-01-18 06:30:00,seller_018,34.75
order_0054,2018-01-19 11:30:00,seller_019,38.00
order_0055,2018-01-20 16:30:00,seller_020,12.00
order_0056,2018-01-16 21:30:00,seller_021,15.25
order_0057,2018-01-18 02:30:00,seller_022,18.50
order_0058,2018-01-19 07:30:00,seller_023,21.75
order_0059,2018-01-20 12:30:00,seller_024,25.00
order_0060,2018-01-21 17:30:00,seller_025,28.25
order_0061,2018-01-17 22:30:00,seller_026,31.50
order_0062,2018-01-19 03:30:00,seller_027,34.75
order_0063,2018-01-20 08:30:00,seller_028,38.00
order_0064,2018-01-21 13:30:00,seller_029,12.00
order_0065,2018-01-22 18:30:00,seller_030,15.25
order_0066,2018-01-18 23:30:00,seller_031,18.50
order_0067,2018-01-20 04:30:00,seller_032,21.75
order_0068,2018-01-21 09:30:00,seller_033,25.00
order_0069,2018-01-22 14:30:00,seller_034,28.25
order_0070,2018-01-23 19:30:00,seller_035,31.50
order_0071,2018-01-20 00:30:00,seller_001,34.75
order_0072,2018-01-21 05:30:00,seller_002,38.00
order_0073,2018-01-22 10:30:00,seller_003,12.00
order_0074,2018-01-23 15:30:00,seller_004,15.25
order_0075,2018-01-24 20:30:00,seller_005,18.50
order_0076,2018-01-21 01:30:00,seller_006,21.75
order_0077,2018-01-22 06:30:00,seller_007,25.00
order_0078,2018-01-23 11:30:00,seller_008,28.25
order_0079,2018-01-24 16:30:00,seller_009,31.50
order_0080,2018-01-25 21:30:00,seller_010,34.75
order_0081,2018-01-22 02:30:00,seller_011,38.00
order_0082,2018-01-23 07:30:00,seller_012,12.00
order_0083,2018-01-24 12:30:00,seller_013,15.25
order_0084,2018-01-25 17:30:00,seller_014,18.50
order_0085,2018-01-26 22:30:00,seller_015,21.75
order_0086,2018-01-23 03:30:00,seller_016,25.00
order_0087,2018-01-24 08:30:00,seller_017,28.25
order_0088,2018-01-25 13:30:00,seller_018,31.50
order_0089,2018-01-26 18:30:00,seller_019,34.75
order_0090,2018-01-27 23:30:00,seller_020,38.00
order_0091,2018-01-24 04:30:00,seller_021,12.00
order_0092,2018-01-25 09:30:00,seller_022,15.25
order_0093,2018-01-26 14:30:00,seller_023,18.50
order_0094,2018-01-27 19:30:00,seller_024,21.75
order_0095,2018-01-29 00:30:00,seller_025,25.00
order_0096,2018-01-25 05:30:00,seller_026,28.25
order_0097,2018-01-26 10:30:00,seller_027,31.50
order_0098,2018-01-27 15:30:00,seller_028,34.75
order_0099,2018-01-28 20:30:00,seller_029,38.00
order_0100,2018-01-30 01:30:00,seller_030,12.00
order_0101,2018-01-26 06:30:00,seller_031,15.25
order_0102,2018-01-27 11:30:00,seller_032,18.50
order_0103,2018-01-28 16:30:00,seller_033,21.75
order_0104,2018-01-29 21:30:00,seller_034,25.00
order_0105,2018-01-31 02:30:00,seller_035,28.25
order_0106,2018-01-27 07:30:00,seller_001,31.50
order_0107,2018-01-28 12:30:00,seller_002,34.75
order_0108,2018-01-29 17:30:00,seller_003,38.00
order_0109,2018-01-30 22:30:00,seller_004,12.00
order_0110,2018-02-01 03:30:00,seller_005,15.25
order_0111,2018-01-28 08:30:00,seller_006,18.50
order_0112,2018-01-29 13:30:00,seller_007,21.75
order_0113,2018-01-30 18:30:00,seller_008,25.00
order_0114,2018-01-31 23:30:00,seller_009,28.25
order_0115,2018-02-02 04:30:00,seller_010,31.50
