order_id,customer_id,order_purchase_timestamp,order_status
order_0001,customer_0001,2018-01-03 10:30:00,delivered
order_0002,customer_0002,2018-01-03 15:30:00,shipped
order_0003,customer_0003,2018-01-03 20:30:00,processing
order_0004,customer_0004,2018-01-04 01:30:00,invoiced
order_0005,customer_0005,2018-01-04 06:30:00,delivered
order_0006,customer_0006,2018-01-04 11:30:00,shipped
order_0007,customer_0007,2018-01-04 16:30:00,processing
order_0008,customer_0008,2018-01-04 21:30:00,invoiced
order_0009,customer_0009,2018-01-05 02:30:00,delivered
order_0010,customer_0010,2018-01-05 07:30:00,shipped
order_0011,customer_0011,2018-01-05 12:30:00,processing
order_0012,customer_0012,2018-01-05 17:30:00,invoiced
order_0013,customer_0013,2018-01-05 22:30:00,delivered
order_0014,customer_0014,2018-01-06 03:30:00,shipped
order_0015,customer_0015,2018-01-06 08:30:00,processing
order_0016,customer_0016,2018-01-06 13:30:00,invoiced
order_0017,customer_0017,2018-01-06 18:30:00,delivered
order_0018,customer_0018,2018-01-06 23:30:00,shipped
order_0019,customer_0019,2018-01-07 04:30:00,processing
order_0020,customer_0020,2018-01-07 09:30:00,invoiced
order_0021,customer_0021,2018-01-07 14:30:00,delivered
order_0022,customer_0022,2018-01-07 19:30:00,shipped
order_0023,customer_0023,2018-01-08 00:30:00,processing
order_0024,customer_0024,2018-01-08 05:30:00,invoiced
order_0025,customer_0025,2018-01-08 10:30:00,delivered
order_0026,customer_0026,2018-01-08 15:30:00,shipped
order_0027,customer_0027,2018-01-08 20:30:00,processing
order_0028,customer_0028,2018-01-09 01:30:00,invoiced
order_0029,customer_0029,2018-01-09 06:30:00,delivered
order_0030,customer_0030,2018-01-09 11:30:00,shipped
order_0031,customer_0031,2018-01-09 16:30:00,processing
order_0032,customer_0032,2018-01-09 21:30:00,invoiced
order_0033,customer_0033,2018-01-10 02:30:00,delivered
order_0034,customer_0034,2018-01-10 07:30:00,shipped
order_0035,customer_0035,2018-01-10 12:30:00,processing
order_0036,customer_0036,2018-01-10 17:30:00,invoiced
order_0037,customer_0037,2018-01-10 22:30:00,delivered
order_0038,customer_0038,2018-01-11 03:30:00,shipped
order_0039,customer_0039,2018-01-11 08:30:00,processing
order_0040,customer_0040,2018-01-11 13:30:00,invoiced
order_0041,customer_0041,2018-01-11 18:30:00,delivered
order_0042,customer_0042,2018-01-11 23:30:00,shipped
order_0043,customer_0043,2018-01-12 04:30:00,processing
order_0044,customer_0044,2018-01-12 09:30:00,invoiced
order_0045,customer_0045,2018-01-12 14:30:00,delivered
order_0046,customer_0046,2018-01-12 19:30:00,shipped
order_0047,customer_0047,2018-01-13 00:30:00,processing
order_0048,customer_0048,2018-01-13 05:30:00,invoiced
order_0049,customer_0049,2018-01-13 10:30:00,delivered
order_0050,customer_0050,2018-01-13 15:30:00,shipped
order_0051,customer_0051,2018-01-13 20:30:00,processing
order_0052,customer_0052,2018-01-14 01:30:00,invoiced
order_0053,customer_0053,2018-01-14 06:30:00,delivered
order_0054,customer_0054,2018-01-14 11:30:00,shipped
order_0055,customer_0055,2018-01-14 16:30:00,processing
order_0056,customer_0056,2018-01-14 21:30:00,invoiced
order_0057,customer_0057,2018-01-15 02:30:00,delivered
order_0058,customer_0058,2018-01-15 07:30:00,shipped
order_0059,customer_0059,2018-01-15 12:30:00,processing
order_0060,customer_0060,2018-01-15 17:30:00,invoiced
order_0061,customer_0061,2018-01-15 22:30:00,delivered
order_0062,customer_0062,2018-01-16 03:30:00,shipped
order_0063,customer_0063,2018-01-16 08:30:00,processing
order_0064,customer_0064,2018-01-16 13:30:00,invoiced
order_0065,customer_0065,2018-01-16 18:30:00,delivered
order_0066,customer_0066,2018-01-16 23:30:00,shipped
order_0067,customer_0067,2018-01-17 04:30:00,processing
order_0068,customer_0068,2018-01-17 09:30:00,invoiced
order_0069,customer_0069,2018-01-17 14:30:00,delivered
order_0070,customer_0070,2018-01-17 19:30:00,shipped
order_0071,customer_0001,2018-01-18 00:30:00,processing
order_0072,customer_0002,2018-01-18 05:30:00,invoiced
order_0073,customer_0003,2018-01-18 10:30:00,delivered
order_0074,customer_0004,2018-01-18 15:30:00,shipped
order_0075,customer_0005,2018-01-18 20:30:00,processing
order_0076,customer_0006,2018-01-19 01:30:00,invoiced
order_0077,customer_0007,2018-01-19 06:30:00,delivered
order_0078,customer_0008,2018-01-19 11:30:00,shipped
order_0079,customer_0009,2018-01-19 16:30:00,processing
order_0080,customer_0010,2018-01-19 21:30:00,invoiced
order_0081,customer_0011,2018-01-20 02:30:00,delivered
order_0082,customer_0012,2018-01-20 07:30:00,shipped
order_0083,customer_0013,2018-01-20 12:30:00,processing
order_0084,customer_0014,2018-01-20 17:30:00,invoiced
order_0085,customer_0015,2018-01-20 22:30:00,delivered
order_0086,customer_0016,2018-01-21 03:30:00,shipped
order_0087,customer_0017,2018-01-21 08:30:00,processing
order_0088,customer_0018,2018-01-21 13:30:00,invoiced
order_0089,customer_0019,2018-01-21 18:30:00,delivered
