order_id,payment_type,payment_value,payment_installments
order_0001,credit_card,120.00,1
order_0002,debit_card,127.45,2
order_0003,voucher,134.90,3
order_0004,boleto,142.35,4
order_0005,pix,149.80,5
order_0006,credit_card,157.25,6
order_0007,debit_card,164.70,1
order_0008,voucher,172.15,2
order_0009,boleto,179.60,3
order_0010,pix,187.05,4
order_0011,credit_card,194.50,5
order_0012,debit_card,201.95,6
order_0013,voucher,209.40,1
order_0014,boleto,216.85,2
order_0015,pix,224.30,3
order_0016,credit_card,231.75,4
order_0017,debit_card,239.20,5
order_0018,voucher,246.65,6
order_0019,boleto,254.10,1
order_0020,pix,261.55,2
order_0021,credit_card,269.00,3
order_0022,debit_card,276.45,4
order_0023,voucher,283.90,5
order_0024,boleto,291.35,6
order_0025,pix,298.80,1
order_0026,credit_card,306.25,2
order_0027,debit_card,313.70,3
order_0028,voucher,321.15,4
order_0029,boleto,328.60,5
order_0030,pix,336.05,6
order_0031,credit_card,343.50,1
order_0032,debit_card,350.95,2
order_0033,voucher,358.40,3
order_0034,boleto,365.85,4
order_0035,pix,373.30,5
order_0036,credit_card,380.75,6
order_0037,debit_card,388.20,1
order_0038,voucher,395.65,2
order_0039,boleto,403.10,3
order_0040,pix,410.55,4
order_0041,credit_card,418.00,5
order_0042,debit_card,425.45,6
order_0043,voucher,432.90,1
order_0044,boleto,440.35,2
order_0045,pix,447.80,3
order_0046,credit_card,455.25,4
order_0047,debit_card,462.70,5
order_0048,voucher,470.15,6
order_0049,boleto,477.60,1
order_0050,pix,485.05,2
order_0051,credit_card,492.50,3
order_0052,debit_card,499.95,4
order_0053,voucher,507.40,5
order_0054,boleto,514.85,6
order_0055,pix,522.30,1
order_0056,credit_card,529.75,2
order_0057,debit_card,537.20,3
order_0058,voucher,544.65,4
order_0059,boleto,552.10,5
order_0060,pix,559.55,6
order_0061,credit_card,567.00,1
order_0062,debit_card,574.45,2
order_0063,voucher,581.90,3
order_0064,boleto,589.35,4
order_0065,pix,596.80,5
order_0066,credit_card,604.25,6
order_0067,debit_card,611.70,1
order_0068,voucher,619.15,2
order_0069,boleto,626.60,3
order_0070,pix,634.05,4
order_0071,credit_card,641.50,5
order_0072,debit_card,648.95,6
order_0073,voucher,656.40,1
order_0074,boleto,663.85,2
order_0075,pix,671.30,3
order_0076,credit_card,678.75,4
order_0077,debit_card,686.20,5
order_0078,voucher,693.65,6
order_0079,boleto,701.10,1
order_0080,pix,708.55,2
order_0081,credit_card,716.00,3
order_0082,debit_card,723.45,4
order_0083,voucher,730.90,5
order_0084,boleto,738.35,6
order_0085,pix,745.80,1
order_0086,credit_card,753.25,2
order_0087,debit_card,760.70,3
order_0088,voucher,768.15,4
order_0089,boleto,775.60,5
order_0090,pix,783.05,6
order_0091,credit_card,790.50,1
order_0092,debit_card,797.95,2
order_0093,voucher,805.40,3
order_0094,boleto,812.85,4
order_0095,pix,820.30,5
order_0096,credit_card,827.75,6
order_0097,debit_card,835.20,1
order_0098,voucher,842.65,2
order_0099,boleto,850.10,3
order_0100,pix,857.55,4
order_0101,credit_card,865.00,5
order_0102,debit_card,872.45,6
order_0103,voucher,879.90,1
order_0104,boleto,887.35,2
order_0105,pix,894.80,3
order_0106,credit_card,902.25,4
order_0107,debit_card,909.70,5
order_0108,voucher,917.15,6
order_0109,boleto,924.60,1
order_0110,pix,932.05,2
order_0111,credit_card,939.50,3
order_0112,debit_card,946.95,4
order_0113,voucher,954.40,5
order_0114,boleto,961.85,6
order_0115,pix,969.30,1
order_0116,credit_card,976.75,2
order_0117,debit_card,984.20,3
order_0118,voucher,991.65,4
order_0119,boleto,999.10,5
order_0120,pix,1006.55,6
order_0121,credit_card,1014.00,1
order_0122,debit_card,1021.45,2
order_0123,voucher,1028.90,3
order_0124,boleto,1036.35,4
order_0125,pix,1043.80,5
order_0126,credit_card,1051.25,6
order_0127,debit_card,1058.70,1
order_0128,voucher,1066.15,2
order_0129,boleto,1073.60,3
order_0130,pix,1081.05,4
order_0131,credit_card,1088.50,5
order_0132,debit_card,1095.95,6
order_0133,voucher,1103.40,1
order_0134,boleto,1110.85,2
order_0135,pix,1118.30,3
order_0136,credit_card,1125.75,4
order_0137,debit_card,1133.20,5
order_0138,voucher,1140.65,6
order_0139,boleto,1148.10,1
order_0140,pix,1155.55,2
order_0141,credit_card,1163.00,3
order_0142,debit_card,1170.45,4
order_0143,voucher,1177.90,5
order_0144,boleto,1185.35,6
order_0145,pix,1192.80,1
order_0146,credit_card,1200.25,2
order_0147,debit_card,1207.70,3
order_0148,voucher,1215.15,4
order_0149,boleto,1222.60,5
order_0150,pix,1230.05,6
order_0151,credit_card,1237.50,1
order_0152,debit_card,1244.95,2
order_0153,voucher,1252.40,3
order_0154,boleto,1259.85,4
order_0155,pix,1267.30,5
order_0156,credit_card,1274.75,6
order_0157,debit_card,1282.20,1
order_0158,voucher,1289.65,2
order_0159,boleto,1297.10,3
order_0160,pix,1304.55,4
order_0161,credit_card,1312.00,5
order_0162,debit_card,1319.45,6
order_0163,voucher,1326.90,1
order_0164,boleto,1334.35,2
order_0165,pix,1341.80,3
order_0166,credit_card,1349.25,4
order_0167,debit_card,1356.70,5
order_0168,voucher,1364.15,6
order_0169,boleto,1371.60,1
order_0170,pix,1379.05,2
order_0171,credit_card,1386.50,3
order_0172,debit_card,1393.95,4
order_0173,voucher,1401.40,5
order_0174,boleto,1408.85,6
order_0175,pix,1416.30,1
order_0176,credit_card,1423.75,2
order_0177,debit_card,1431.20,3
order_0178,voucher,1438.65,4
order_0179,boleto,1446.10,5
order_0180,pix,1453.55,6
order_0181,credit_card,1461.00,1
order_0182,debit_card,1468.45,2
order_0183,voucher,1475.90,3
order_0184,boleto,1483.35,4
order_0185,pix,1490.80,5
order_0186,credit_card,1498.25,6
order_0187,debit_card,1505.70,1
order_0188,voucher,1513.15,2
order_0189,boleto,1520.60,3
order_0190,pix,1528.05,4
order_0191,credit_card,1535.50,5
order_0192,debit_card,1542.95,6
order_0193,voucher,1550.40,1
order_0194,boleto,1557.85,2
order_0195,pix,1565.30,3
order_0196,credit_card,1572.75,4
order_0197,debit_card,1580.20,5
order_0198,voucher,1587.65,6
order_0199,boleto,1595.10,1
order_0200,pix,1602.55,2
