order_id,payment_type,payment_installments
e69bfb5eb88e0ed6a785585b27e16dbf,voucher,1
95266dbfb7e20354baba07964dac78d5,credit_card,3
60550084e6b4c0cb89a87df1f3e5ebd9,boleto,1
ee64d42b8cf066f35eac1cf57de1aa85,boleto,1
5820a1100976432c7968a52da59e9364,credit_card,1
2ce1ad82022c1ba30c2079502ac725aa,boleto,1
a685d016c8a26f71a0bb67821070e398,boleto,1
ec341c54a5ebf8ee0a67a8632aa7579b,credit_card,2
0760a852e4e9d89eb77bf631eaaf1c84,boleto,1
9d531c565e28c3e0d756192f84d8731f,credit_card,4
01a75ac3dd000b7628a684be97c29234,credit_card,5
ee990334acb0ff9333b01afa465f3006,boleto,1
ba4ddff2b9082f079de9a84d7a5605fd,credit_card,1
43d88b0e949865904334dd5b3ca63f50,credit_card,2
