order_id,payment_type,payment_installments
6514b8ad8028c9f2cc2374ded245783f,credit_card,3
76c6e866289321a7c93b82b54852dc33,boleto,1
138849fd84dff2fb4ca70a0a34c4aa1c,boleto,1
orphan-2475,debit_card,1
974c1993ab8024d3ed16229183c2308d,boleto,1
6d25592267349b322799e2beb687871e,boleto,1
b8801cccd8068de30112e4f49903d74a,credit_card,2
a6cd683d4bd3b9b1f0aa37b27f8116d3,credit_card,6
01855f880aae9a984c7c33b26fcf2e02,credit_card,2
b16cec67cb3f5a4bb31abe8988b43d19,credit_card,2
9344ccd01ff5fa7ec2aef0ee7e1c49c3,boleto,1
aeb4c9d05ab11d7c6c9ca24f8c43bd70,telepathy,1
74ebfa44a323c96a7760bd693d690a3d,credit_card,10
a6cd683d4bd3b9b1f0aa37b27f8116d3,credit_card,6
