order_id,payment_type,payment_value,payment_installments
6514b8ad8028c9f2cc2374ded245783f,credit_card,75.16,3
76c6e866289321a7c93b82b54852dc33,boleto,35.95,1
138849fd84dff2fb4ca70a0a34c4aa1c,boleto,52.84,1
fdf128b3630c21adc9ca4fb8a51b68ec,debit_card,46.20,1
974c1993ab8024d3ed16229183c2308d,boleto,84.56,1
6d25592267349b322799e2beb687871e,boleto,201.82,1
b8801cccd8068de30112e4f49903d74a,credit_card,27.77,2
a6cd683d4bd3b9b1f0aa37b27f8116d3,credit_card,609.90,6
01855f880aae9a984c7c33b26fcf2e02,credit_card,95.52,2
b16cec67cb3f5a4bb31abe8988b43d19,credit_card,141.67,2
9344ccd01ff5fa7ec2aef0ee7e1c49c3,boleto,51.79,1
aeb4c9d05ab11d7c6c9ca24f8c43bd70,credit_card,22.79,1
74ebfa44a323c96a7760bd693d690a3d,credit_card,393.46,10
