order_id,payment_type,payment_value,payment_installments
a4591c265e18cb1dcee52889e2d8acc3,credit_card,ten thousand,6
e69bfb5eb88e0ed6a785585b27e16dbf,voucher,161.42,1
60550084e6b4c0cb89a87df1f3e5ebd9,boleto,66.79,1
1e7aff52cdbb2451ace09d0f848c3699,credit_card,154.19,4
b52cc4919de82b4d696a4380d10804a3,boleto,55.02,1
3923e3ade70348985bd2ca389905cf19,boleto,78.15,1
89165e6d4c28047da0adf13ac8b3e1b3,credit_card,118.35,1
1d067305b599c1e0dceb3864056ea527,credit_card,170.43,5
b2bd1f09c1b8a4a36940f6f6e49d5dec,telepathy,29.13,1
a7cd6af6e0519313887b3c3a120f20ca,credit_card,43.29,4
775130c792f4c6460c63162e994a1114,credit_card,273.27,2
43d88b0e949865904334dd5b3ca63f50,credit_card,58.28,2
6d7de866a140b19d09e825b2a4e944c7,credit_card,139.80,1
7c18eddfcd24680d80a502346221614e,credit_card,423.67,10
