order_id,payment_type,payment_value,payment_installments
f848643eec1d69395095eb3840d2051e,credit_card,88.90,4
dd78f560c270f1909639c11b925620ea,credit_card,60.69,2
b276e4f8c0fb86bd82fce576f21713e0,credit_card,188.41,2
8563039e855156e48fccee4d611a3196,credit_card,106.95,4
434d158e96bdd6972ad6e6d73ddcfd22,boleto,508.17,1
5820a1100976432c7968a52da59e9364,credit_card,52.24,1
10c320f977c6a18f91b2d14be13128c6,credit_card,132.26,3
9defaf92cff22420e4e8ef7784815a55,credit_card,62.69,6
8eeda294fab8a5ed70259afb59a10ff8,boleto,187.20,1
62a12e4d2a742b2491d7c00d2d79bf52,credit_card,299.72,10
6fa204b6cf6dcfe6c9adca7dc53aa32a,boleto,108.01,1
