order_id,shipping_limit_date,freight_value
203096f03d82e0dffbc41ebc2e2bcfb7,2017-09-25 04:04:09,8.96
1e7aff52cdbb2451ace09d0f848c3699,2017-05-25 19:05:17,34.20
a6aeb116d2cb5013eb8a94585b71ffef,2017-09-19 14:44:39,9.34
974c1993ab8024d3ed16229183c2308d,2017-02-24 11:45:39,14.66
82bce245b1c9148f8d19a55b9ff70644,2017-04-27 05:15:56,15.56
bd4bd0194d6d29f83b8557d4b89b572a,2018-08-02 03:50:24,12.84
,2017-12-29 02:15:31,14.10
10c320f977c6a18f91b2d14be13128c6,2017-05-16 21:02:45,21.27
41bb5cee06dbf170878a9ef93ac7e7f5,2018-05-28 08:52:24,99999.99
0760a852e4e9d89eb77bf631eaaf1c84,2018-08-13 06:15:14,15.35
orphan-8093,2017-12-01 00:38:17,39.28
aeb4c9d05ab11d7c6c9ca24f8c43bd70,2017-09-27 14:44:35,15.79
10c320f977c6a18f91b2d14be13128c6,2017-05-16 21:02:45,21.27
