order_id,payment_type,payment_value,payment_installments
order_0004,boleto,142.35,4
order_0008,voucher,172.15,2
order_0022,debit_card,276.45,4
order_0027,debit_card,313.70,3
order_0034,boleto,365.85,4
order_0049,boleto,477.60,1
order_0068,voucher,619.15,2
order_0069,boleto,626.60,3
order_0071,credit_card,641.50,5
order_0089,boleto,775.60,5
order_0107,debit_card,909.70,5
order_0108,voucher,917.15,6
order_0111,credit_card,939.50,3
order_0133,voucher,1103.40,1
order_0139,boleto,1148.10,1
order_0159,boleto,1297.10,3
order_0170,voucher,1379.05,2
order_0188,voucher,1513.15,2
