order_id,payment_type,payment_value,payment_installments
order_0026,credit_card,306.25,2
order_0030,pix,336.05,6
order_0032,debit_card,350.95,2
order_0033,voucher,358.40,3
order_0041,credit_card,418.00,5
order_0047,debit_card,462.70,5
order_0048,voucher,470.15,6
order_0049,boleto,477.60,1
order_0051,credit_card,492.50,3
order_0056,credit_card,529.75,2
order_0061,credit_card,567.00,1
order_0084,boleto,738.35,6
order_0091,credit_card,790.50,1
order_0101,credit_card,865.00,5
order_0152,debit_card,1244.95,2
order_0164,boleto,1334.35,2
order_0178,voucher,1438.65,4
order_0185,pix,1490.80,5
