order_id,payment_type,payment_value,payment_installments
order_0004,boleto,142.35,4
order_0010,pix,187.05,4
order_0014,boleto,216.85,2
orphan-8501,voucher,246.65,6
order_0026,credit_card,306.25,2
order_0043,voucher,432.90,1
order_0055,pix,522.30,1
order_0058,voucher,544.65,4
order_0117,debit_card,984.20,3
order_0122,debit_card,1021.45,2
order_0126,credit_card,1051.25,6
order_0132,debit_card,1095.95,6
order_0135,pix,1118.30,3
order_0138,voucher,1140.65,6
order_0141,credit_card,1163.00,3
order_0180,pix,1453.55,6
order_0181,credit_card,1461.00,1
order_0197,debit_card,1580.20,5
