order_id,shipping_limit_date,seller_id,freight_value
order_0007,2018-01-07 16:30:00,seller_007,31.50
order_0010,2018-01-11 07:30:00,seller_010,12.00
order_0031,2018-01-11 16:30:00,seller_031,21.75
order_0035,2018-01-16 12:30:00,seller_035,34.75
order_0044,2018-01-17 09:30:00,seller_009,34.75
order_0054,2018-01-19 11:30:00,seller_019,38.00
order_0058,2018-01-19 07:30:00,seller_023,21.75
order_0061,2018-01-17 22:30:00,seller_026,31.50
order_0067,2018-01-20 04:30:00,seller_032,21.75
order_0096,2018-01-25 05:30:00,seller_026,89.90
order_0137,2018-02-03 18:30:00,seller_032,15.25
order_0167,2018-02-10 00:30:00,seller_027,25.00
order_0176,2018-02-10 21:30:00,seller_001,25.00
order_0180,2018-02-15 17:30:00,seller_005,38.00
order_0181,2018-02-11 22:30:00,seller_006,12.00
order_0192,2018-02-15 05:30:00,seller_017,18.50
order_0194,2018-02-17 15:30:00,seller_019,25.00
order_0200,2018-02-19 21:30:00,seller_025,15.25
