order_id,customer_id,order_purchase_timestamp,order_status
order_0044,customer_0044,2018-01-12 09:30:00,invoiced
order_0192,customer_0052,2018-02-12 05:30:00,invoiced
order_0176,customer_0036,2018-02-08 21:30:00,invoiced
order_0200,customer_0060,2018-02-13 21:30:00,invoiced
order_0067,customer_0067,2018-01-17 04:30:00,processing
order_0137,customer_0067,2018-01-31 18:30:00,delivered
order_0194,customer_0054,2018-02-12 15:30:00,shipped
order_0096,customer_0026,2018-01-23 05:30:00,invoiced
order_0007,customer_0007,2018-01-04 16:30:00,processing
order_0061,customer_0061,2018-01-15 22:30:00,delivered
order_0010,customer_0010,2018-01-05 07:30:00,shipped
order_0180,customer_0040,2018-02-09 17:30:00,invoiced
order_0058,customer_0058,2018-01-15 07:30:00,shipped
order_0054,customer_0054,2018-01-14 11:30:00,shipped
order_0031,customer_0031,2018-01-09 16:30:00,processing
order_0167,customer_0027,2018-02-07 00:30:00,processing
order_0035,customer_0035,2018-01-10 12:30:00,processing
order_0181,customer_0041,2018-02-09 22:30:00,delivered
