order_id,shipping_limit_date,seller_id,freight_value
order_0016,2018-01-08 13:30:00,seller_016,31.50
order_0025,2018-01-14 10:30:00,seller_025,31.50
order_0031,2018-01-11 16:30:00,seller_031,21.75
order_0038,2018-01-15 03:30:00,seller_003,15.25
order_0049,2018-01-18 10:30:00,seller_014,21.75
order_0063,2018-01-20 08:30:00,seller_028,38.00
order_0068,2018-01-21 09:30:00,seller_033,25.00
order_0074,2018-01-23 15:30:00,seller_004,15.25
order_0100,2018-01-30 01:30:00,seller_030,12.00
order_0111,2018-01-28 08:30:00,seller_006,18.50
order_0113,2018-01-30 18:30:00,seller_008,25.00
order_0145,2018-02-08 10:30:00,seller_005,12.00
order_0154,2018-02-09 07:30:00,seller_014,12.00
order_0162,2018-02-08 23:30:00,seller_022,38.00
order_0166,2018-02-08 19:30:00,seller_026,21.75
order_0172,2018-02-11 01:30:00,seller_032,12.00
order_0181,2018-02-11 22:30:00,seller_006,12.00
order_0182,2018-02-13 03:30:00,seller_007,15.25
