order_id,payment_type,payment_installments,payment_value
order_0004,boleto,4,
order_0013,voucher,1,
order_0016,credit_card,4,
order_0022,debit_card,4,
order_0030,pix,6,
order_0041,credit_card,5,NaN??
order_0047,debit_card,5,
order_0057,debit_card,3,
order_0096,credit_card,6,
order_0097,debit_card,1,
order_0122,debit_card,2,
order_0123,voucher,3,
order_0139,boleto,1,
order_0153,voucher,3,
order_0169,boleto,1,
order_0177,debit_card,3,
order_0180,pix,6,
order_0190,pix,4,
order_0180,pix,6,
