order_id,shipping_limit_date,seller_id,freight_value
order_0001,2018-01-05 10:30:00,seller_001,12.00
order_0011,2018-01-07 12:30:00,seller_011,15.25
order_0026,2018-01-10 15:30:00,seller_026,34.75
order_0027,2018-01-11 20:30:00,seller_027,38.00
order_0052,2018-01-17 01:30:00,seller_017,31.50
order_0060,2018-01-21 17:30:00,seller_025,28.25
order_0065,2018-01-22 18:30:00,seller_030,15.25
order_0075,2018-01-24 20:30:00,seller_005,99999.99
order_0111,2018-01-28 08:30:00,seller_006,18.50
order_0120,2018-02-03 05:30:00,seller_015,18.50
order_0134,2018-02-05 03:30:00,seller_029,34.75
order_0152,2018-02-06 21:30:00,seller_012,34.75
order_0156,2018-02-06 17:30:00,seller_016,18.50
order_0161,2018-02-07 18:30:00,seller_021,34.75
order_0186,2018-02-12 23:30:00,seller_011,28.25
order_0187,2018-02-14 04:30:00,seller_012,31.50
orphan-4097,2018-02-15 09:30:00,seller_013,34.75
order_0190,2018-02-17 19:30:00,seller_015,12.00
