order_id,payment_type,payment_installments,payment_value
order_0019,boleto,1,254.10
order_0033,voucher,3,358.40
order_0047,debit_card,5,462.70
order_0052,debit_card,4,499.95
order_0055,pix,1,522.30
order_0064,boleto,4,589.35
order_0071,credit_card,5,641.50
,voucher,1,0.00
order_0083,voucher,5,730.90
order_0107,debit_card,5,909.70
order_0108,voucher,6,917.15
order_0112,debit_card,4,946.95
order_0130,pix,4,1081.05
order_0150,pix,6,1230.05
order_0164,boleto,2,1334.35
order_0175,pix,1,1416.30
order_0181,credit_card,1,1461.00
order_0183,voucher,3,1475.90
